Day,Date,Time,Court 1,,,,Court 2,,,
,,,#,Team 1,Team 2,#,#,Team 1,Team 2,#
Tuesday,5/28/2019,6:30 PM,7,Just The Tip,Monkey,8,1,Ball Smashers 2,Beer Pressure,2
,,7:45 PM,5,Disqualified,Here For Beer,6,3,Block Party,Blockbusters,4
,,9:00 PM,3,Choke On That Block,Deepak’s Virgins,4,1,Aces High,Chafing The Dream,2
Wednesday,5/29/2019,6:30 PM,7,Smack,The Goonies,8,5,Plan B,Shamwow,6
,,7:45 PM,3,Little Rascals,Phillippas,4,1,Ginger Ninjas,Legends,2
,,9:00 PM,9,Natty’s Daddy,One Hit Wonders,10,5,Bumpin Uglies,Half Spiked,6
Friday,5/31/2019,6:30 PM,11,Power Blackout,Questionably Athletic,12,7,It’s All Good,La Cabana Fiesta,8
,,7:45 PM,13,Sand Sweat & Beers,Scared Hitless,14,9,Old Diggers,Ron’s Rockin Dinosaurs,10
,,9:00 PM,15,Soldner,Spiked Punch,16,11,Stars & Spikes,Volleylama,12
Monday,6/3/2019,6:30 PM,2,Chafing The Dream,Deepak’s Virgins,4,2,Beer Pressure,Block Party,3
,,7:45 PM,1,Aces High,Choke On That Block,3,1,Ball Smashers 2,Vollyagra,13
,,9:00 PM,17,The Goodfellas,Rons Rockers,18,19,Croc O Shit,What’s The Score,20
Tuesday,6/4/2019,6:30 PM,5,Disqualified,Just The Tip,7,4,Blockbusters,Bumpin Uglies,5
,,7:45 PM,6,Here For Beer,Monkey,8,6,Half Spiked,It’s All Good,7
,,9:00 PM,9,Natty’s Daddy,Power Blackout,11,10,One Hit Wonders,Questionably Athletic,12
Wednesday,6/5/2019,6:30 PM,1,Ginger Ninjas,ZeePellz,9,2,Legends,Little Rascals,3
,,7:45 PM,4,Phillippas,Plan B,5,6,Shamwow,Smack,7
,,9:00 PM,13,Sand Sweat & Beers,Soldner,15,8,La Cabana Fiesta,Old Diggers,9
Thursday,6/6/2019,6:30 PM,8,The Goonies,ZeePellz,9,12,Volleylama,Vollyagra,13
,,7:45 PM,1,Ginger Ninjas,Little Rascals,3,14,Scared Hitless,Spiked Punch,16
,,9:00 PM,17,The Goodfellas,Croc O Shit,19,10,Ron’s Rockin Dinosaurs,Stars & Spikes,11
Friday,6/7/2019,6:30 PM,18,Rons Rockers,What’s The Score,20,5,Bumpin Uglies,It’s All Good,7
,,7:45 PM,1,Aces High,Deepak’s Virgins,4,2,Beer Pressure,Blockbusters,4
,,9:00 PM,2,Chafing The Dream,Choke On That Block,3,1,Ball Smashers 2,Block Party,3
Monday,6/10/2019,6:30 PM,10,One Hit Wonders,Power Blackout,11,6,Half Spiked,La Cabana Fiesta,8
,,7:45 PM,9,Natty’s Daddy,Questionably Athletic,12,9,Old Diggers,Stars & Spikes,11
,,9:00 PM,6,Here For Beer,Just The Tip,7,5,Disqualified,Monkey,8
Tuesday,6/11/2019,6:30 PM,18,Rons Rockers,Croc O Shit,19,2,Beer Pressure,Vollyagra,13
,,7:45 PM,17,The Goodfellas,What’s The Score,20,10,Ron’s Rockin Dinosaurs,Volleylama,12
,,9:00 PM,14,Scared Hitless,Soldner,15,13,Sand Sweat & Beers,Spiked Punch,16
Wednesday,6/12/2019,6:30 PM,5,Plan B,Smack,7,2,Legends,Phillippas,4
,,7:45 PM,3,Little Rascals,ZeePellz,9,6,Shamwow,The Goonies,8
,,9:00 PM,1,Aces High,Disqualified,5,1,Ball Smashers 2,Blockbusters,4
Thursday,6/13/2019,6:30 PM,1,Ginger Ninjas,Phillippas,4,6,Half Spiked,Old Diggers,9
,,7:45 PM,2,Legends,Plan B,5,3,Choke On That Block,Just The Tip,7
,,9:00 PM,2,Chafing The Dream,Here For Beer,6,3,Block Party,Bumpin Uglies,5
Friday,6/14/2019,6:30 PM,10,One Hit Wonders,Scared Hitless,14,7,It’s All Good,Ron’s Rockin Dinosaurs,10
,,7:45 PM,9,Natty’s Daddy,Sand Sweat & Beers,13,8,La Cabana Fiesta,Stars & Spikes,11
,,9:00 PM,4,Deepak’s Virgins,Monkey,8,1,Ball Smashers 2,Volleylama,12
Monday,6/17/2019,6:30 PM,11,Power Blackout,Soldner,15,3,Block Party,Vollyagra,13
,,7:45 PM,12,Questionably Athletic,Spiked Punch,16,2,Beer Pressure,Bumpin Uglies,5
,,9:00 PM,1,Aces High,The Goodfellas,17,2,Chafing The Dream,Rons Rockers,18
Tuesday,6/18/2019,6:30 PM,3,Choke On That Block,Croc O Shit,19,4,Blockbusters,Half Spiked,6
,,7:45 PM,4,Deepak’s Virgins,What’s The Score,20,7,It’s All Good,Old Diggers,9
,,9:00 PM,5,Disqualified,Natty’s Daddy,9,6,Here For Beer,One Hit Wonders,10
Wednesday,6/19/2019,6:30 PM,3,Little Rascals,Plan B,5,2,Legends,The Goonies,8
,,7:45 PM,1,Ginger Ninjas,Smack,7,6,Shamwow,ZeePellz,9
,,9:00 PM,7,Just The Tip,Power Blackout,11,8,La Cabana Fiesta,Ron’s Rockin Dinosaurs,10
Thursday,6/20/2019,6:30 PM,4,Phillippas,Shamwow,6,11,Stars & Spikes,Vollyagra,13
,,7:45 PM,7,Smack,ZeePellz,9,13,Sand Sweat & Beers,The Goodfellas,17
,,9:00 PM,8,Monkey,Questionably Athletic,12,2,Beer Pressure,Volleylama,12
Friday,6/21/2019,6:30 PM,14,Scared Hitless,Rons Rockers,18,4,Blockbusters,It’s All Good,7
,,7:45 PM,15,Soldner,Croc O Shit,19,3,Block Party,Half Spiked,6
,,9:00 PM,16,Spiked Punch,What’s The Score,20,1,Ball Smashers 2,Bumpin Uglies,5
Monday,6/24/2019,6:30 PM,4,Deepak’s Virgins,Just The Tip,7,8,La Cabana Fiesta,Volleylama,12
,,7:45 PM,3,Choke On That Block,Monkey,8,9,Old Diggers,Vollyagra,13
,,9:00 PM,1,Aces High,Here For Beer,6,2,Chafing The Dream,Disqualified,5
Tuesday,6/25/2019,6:30 PM,12,Questionably Athletic,Soldner,15,1,Ball Smashers 2,Ron’s Rockin Dinosaurs,10
,,7:45 PM,11,Power Blackout,Spiked Punch,16,2,Beer Pressure,Stars & Spikes,11
,,9:00 PM,9,Natty’s Daddy,Scared Hitless,14,10,One Hit Wonders,Sand Sweat & Beers,13
Wednesday,6/26/2019,6:30 PM,2,Legends,Shamwow,6,1,Ginger Ninjas,The Goonies,8
,,7:45 PM,4,Phillippas,ZeePellz,9,3,Little Rascals,Smack,7
,,9:00 PM,2,Chafing The Dream,The Goodfellas,17,3,Block Party,It’s All Good,7
Thursday,6/27/2019,6:30 PM,1,Ginger Ninjas,Shamwow,6,4,Blockbusters,La Cabana Fiesta,8
,,7:45 PM,5,Plan B,The Goonies,8,1,Aces High,Rons Rockers,18
,,9:00 PM,4,Deepak’s Virgins,Croc O Shit,19,5,Bumpin Uglies,Old Diggers,9
Friday,6/28/2019,6:30 PM,6,Here For Beer,Natty’s Daddy,9,3,Block Party,Volleylama,12
,,7:45 PM,5,Disqualified,One Hit Wonders,10,1,Ball Smashers 2,Stars & Spikes,11
,,9:00 PM,3,Choke On That Block,What’s The Score,20,6,Half Spiked,Ron’s Rockin Dinosaurs,10
Monday,7/1/2019,6:30 PM,14,Scared Hitless,The Goodfellas,17,4,Blockbusters,Vollyagra,13
,,7:45 PM,13,Sand Sweat & Beers,Rons Rockers,18,2,Beer Pressure,Half Spiked,6
,,9:00 PM,8,Monkey,Power Blackout,11,7,Just The Tip,Questionably Athletic,12
Tuesday,7/2/2019,6:30 PM,15,Soldner,What’s The Score,20,7,It’s All Good,Stars & Spikes,11
,,7:45 PM,16,Spiked Punch,Croc O Shit,19,5,Bumpin Uglies,La Cabana Fiesta,8
,,9:00 PM,1,Aces High,Just The Tip,7,2,Chafing The Dream,Monkey,8
Wednesday,7/3/2019,6:30 PM,3,Little Rascals,Shamwow,6,5,Plan B,ZeePellz,9
,,7:45 PM,4,Phillippas,The Goonies,8,2,Legends,Smack,7
,,9:00 PM,3,Choke On That Block,Disqualified,5,9,Old Diggers,Volleylama,12
Thursday,7/4/2019,6:30 PM,2,Legends,ZeePellz,9,10,Ron’s Rockin Dinosaurs,Vollyagra,13
,,7:45 PM,1,Ginger Ninjas,Plan B,5,9,Natty’s Daddy,Soldner,15
,,9:00 PM,4,Deepak’s Virgins,Here For Beer,6,1,Ball Smashers 2,Half Spiked,6
Friday,7/5/2019,6:30 PM,10,One Hit Wonders,Spiked Punch,16,2,Beer Pressure,It’s All Good,7
,,7:45 PM,11,Power Blackout,Sand Sweat & Beers,13,3,Block Party,La Cabana Fiesta,8
,,9:00 PM,12,Questionably Athletic,Scared Hitless,14,4,Blockbusters,Old Diggers,9
Monday,7/8/2019,6:30 PM,2,Chafing The Dream,What’s The Score,20,3,Block Party,Stars & Spikes,11
,,7:45 PM,1,Aces High,Croc O Shit,19,5,Bumpin Uglies,Ron’s Rockin Dinosaurs,10
,,9:00 PM,4,Deepak’s Virgins,Rons Rockers,18,3,Choke On That Block,The Goodfellas,17
Tuesday,7/9/2019,6:30 PM,5,Disqualified,Power Blackout,11,5,Bumpin Uglies,Vollyagra,13
,,7:45 PM,6,Here For Beer,Questionably Athletic,12,4,Blockbusters,Volleylama,12
